Lot_name,Capacity
Poplars Parking Garage,392
Henderson Parking Garage,510
Forrest Ave Parking Garage,376
Fee Lane Parking Garage,630
Atwater Parking Garage,635
650,67
640,10
569,26
566,15
562,156
556,15
554,153
552,9
550,102
548,40
547,51
544,18
540,84
538,16
536,34
534,27
532,6
530,6
529,314
525,26
524,19
522,11
520,74
518,22
517,106
515,398
514,240
513,11
512,3
510,4
508,29
504,6
500,26
488,50
484,50
482,4
480,7
479,26
478,29
477,21
476,5
475,1
474,10
470,41
469,10
468,12
466,6
456,240
455,12
453,4
452,31
451,10
450,3
440,27
438,4
436,6
434,21
428,8
426,125
423,19
422,1
420,10
418,3
414,112
412,88
409,60
406,24
404,61
403,6
402,22
368,3
366,26
364,95
358,10
356,9
355,3
354,47
350,92
346,2
344,10
343,2
342,22
330,5
Lots 316 / 318 / 320 / 322 / 324 / 326,50
312,9
310,56
302,47
260,13
259,5
258,94
257,4
256,82
250,46
249,53
242,28
235,6
234,4
232,27
231,261
230,52
229,0
228,18
227,170
226,375
222,5
218,12
216,125
214,66
212,6
210,0
208,8
207,104
204,51
202,49
201,33
200,24
178,334
174,57
172,167
170,155
169,229
168,72
166,100
164,158
162,64
160,101
158,146
156,227
154,19
153,31
152,251
150,10
148,495
146,72
144,46
142,15
140,229
138,0
136,73
134,57
133,54
132,50
130,163
128,183
127,79
126,71
125,225
123,98
122,209
121,13
120,146
117,97
116,277
115,89
114,888
112,123
111,2
110,310
108,53
104,700
103,12
102,1409
100,896
