,Building
0,117 S UNION ST
1,WILLKIE C
2,209 S UNION ST
3,211 S UNION ST
4,WILLKIE B
5,120 S BRYAN AVE
6,102 S BRYAN AVE
7,211 S UNION GARAGE
8,2027 E 3RD ST
9,3RD & UNION APARTMENTS
10,204 S BRYAN AVE
11,2020 E 3RD ST
12,118 S BRYAN AVE
13,2029 E 3RD GARAGE
14,206 S BRYAN AVE
15,104 S BRYAN AVE
16,214 S BRYAN AVE
17,WILLKIE A
18,111 N BRYAN AVE
19,212 S BRYAN AVE
20,113 N BRYAN AVE
21,AMERICAN HISTORIANS-RAINTREE HOUSE
22,2029 E 3RD ST
23,2101 E 3RD ST
24,2031 E 3RD ST
25,120 N BRYAN AVE
26,SPRUCE HALL
27,121 N BRYAN AVE
28,MASON HALL
29,2030 E 3RD ST
30,1902 E 3RD ST
31,306 N UNION ST
32,2105 E 3RD GARAGE
33,318 N UNION ST
34,2105 E 3RD ST
35,318 N UNION GARAGE
36,PINE HALL
37,1812 E 3RD ST
38,FOREST QUAD CHILLER
19188,GLOBAL & INTL STUDIES BLDG
19189,IU CINEMA
19190,LEE NORVELLE THEATRE DRAMA/ NEAL&MARS
19191,AUDITORIUM
19192,FINE ARTS
19193,WELLS LIBRARY
19194,316 N EAGLESON AVE
19195,ESKENAZI SCHL / MIES VAN DER ROHE BLDG
19196,RADIO-TV
19197,GAZEBO-ARBORETUM
19198,FERGUSON INTERNATIONAL CENTER
19199,SHOWALTER FOUNTAIN
19200,300 N EAGLESON AVE
19201,WRIGHT QUAD
19202,SIDNEY & LOIS ESKENAZI MUSEUM OF ART
19203,ARBORETUM
19205,LILLY LIBRARY
19206,BICENTENNIAL CARILLON
19207,UNDERGRADUATE EDUCATION
40228,EAST PARKING GARAGE
40229,INTERNATIONAL CENTER
40230,MUSICAL ARTS CENTER
40231,WENDELL W. WRIGHT
40232,MAC MACHINE ROOM 100
40233,DELTA GAMMA
40235,EAST STUDIO BUILDING
44250,SIMON MSC LBR REC
44252,MUSIC ADDITION
44257,MERRILL HALL
44258,BRYAN HOUSE
44259,READ HALL
44263,WOODBURN HALL
44264,CONRAD PREBYS AMPHITHEATER
44265,MORRISON HALL
48370,509 E 3RD ST
48371,209 S DUNN ST
48372,618 E 3RD ST
48373,502 E 4TH ST
48374,508 E 3RD ST
48375,624 E 3RD ST
48376,4TH & INDIANA-LEWIS BLDG
48377,630 E 3RD ST
48378,514 E 3RD ST
48379,314 S HENDERSON ST
48380,HENDERSON PARKING GARAGE
48381,KIRKWOOD OBSERVATORY
48382,LOWELL E. BAIER HALL
48383,CARMICHAEL CENTER
48384,BRYAN HALL
48385,324 S HENDERSON ST
48386,SWAIN WEST
48387,BETA SIGMA PSI
48388,FRANKLIN HALL
48389,CHI PHI
48390,SWAIN EAST
48391,HILLEL CENTER
48392,VON LEE
48393,RAWLES HALL
48394,ATWATER EYE CARE CENTER
48395,STUDENT BUILDING (FRANCES MORGAN SWAIN)
48396,KIRKWOOD HALL
48397,ROSE WELL HOUSE
48398,CLASSROOM-OFFICE BUILDING
48399,CTR REP GOVERNMENT
48400,814 E 3RD ST
49824,WYLIE HALL
49825,215 N INDIANA AVE
49826,LINDLEY HALL
49827,MAXWELL HALL
49829,528 E 7TH ST
49830,OWEN HALL
49831,POPLARS PARKING
49832,214 N DUNN ST
56560,RECREATIONAL SPORTS
56561,PARKING BOOTH
56562,JOHNSTON HALL
56563,MOFFAT HALL
56564,GRIGGS LOUNGE
56565,IU STUDENT HEALTH CENTER
56566,TETER QUAD
56567,HERSHEY HALL
56568,VOS HALL
56570,HICKORY HALL
56571,DREISER HALL
56572,BARNES LOUNGE
56573,STEMPEL HALL
56574,BIRCH HALL
56575,1901 E 10TH ST
56576,UNION ST CHILLER
69718,516 N INDIANA AVE
69719,520 N INDIANA AVE
69720,MCCALLA
69721,528 N INDIANA AVE
69722,419 N INDIANA AVE
