title,permit_name
Lot 442,EMP Parking
Lot 442,Motorcycle Parking
Lot 442,Reserved Parking
Lot 442,Visitor Parking
Lot 442,Service Vehicle Parking
Lot 442,Electric Veh Parking
Lot 255,EMP Parking
Lot 255,Electric Veh Parking
Lot 255,Visitor Pay Parking
Lot 255,Accessible Parking
Lot 255,Service Vehicle Parking
Lot 238,EMP Parking
Lot 238,Electric Veh Parking
Lot 238,Visitor Pay Parking
Lot 238,Accessible Parking
Lot 238,Service Vehicle Parking
Headley School Parking,IU Foundation Parking
Lot 424,EMP Parking
Lot 424,Electric Veh Parking
Lot 424,Visitor Pay Parking
Lot 424,Accessible Parking
Lot 424,Service Vehicle Parking
Lot 100,Student Parking
Lot 102,Athletic Parking
Lot 103,Student Parking
Lot 103,Accessible Parking
Lot 104,Athletics Parking
Lot 104,Accessible Parking
Lot 104,Reserved Parking
Lot 108,EMS Parking
Lot 110,EMS Parking
Lot 110,Athletics Parking
Lot 110,Accessible Parking
Lot 110,Student Parking Section E ONLY
Lot 111,Accessible Parking
Lot 112,Athletics Parking
Lot 112,Accessible Parking
Lot 114,Athletics Parking
Lot 114,Accessible Parking
Lot 115,Student Parking
Lot 116,EMS Parking
Lot 116,Accessible Parking
Lot 116,Student Parking
Lot 116,Service Vehicle Parking
Lot 117,Athletic Parking
Lot 117,Accessible Parking
Lot 120,Athletics Parking
Lot 121,Athletic Parking
Lot 122,IU Foundation Parking
Lot 123,EMS Parking (24 Hr)
Lot 123,Accessible Parking
Lot 123,Reserved Parking
Lot 125,This is all of David Baker Ave Street Parking
Lot 125,Student Parking
Lot 126,EMS Parking
Lot 126,Service Vehicle Parking
Lot 127,EMP Parking
Lot 127,EMS Parking
Lot 127,Student Parking
Lot 127,Accessible Parking
Lot 127,Accessible Metered Parking
Lot 128,Student Parking
Lot 128,Accessible Parking
Lot 128,Motorcycle Parking
Lot 128,Metered Parking
Lot 130,Student Parking Section
Lot 130,Athletics Parking
Lot 132,Student Parking
Lot 132,Accessible Parking
Lot 132,Motorcycle Parking
Lot 133,Student Parking
Lot 134,Student Parking
Lot 136,Student Parking
Lot 136,Accessible Parking
Lot 136,Metered Parking
Lot 138,Student Parking
Lot 138,Accessible Metered Parking
Lot 138,Motorcycle Parking
Lot 140,Accessible Parking
Lot 140,Visitor Pay Lot
Lot 142,Accessible Parking
Lot 142,Motorcycle Parking
Lot 142,Service Vehicle Parking
Lot 144,EMS Parking
Lot 146,EMP Parking
Lot 146,Service Vehicle Parking
Lot 146,Patient Parking
Lot 148,EMS Parking
Lot 148,Campus Housing Parking - Zone 5
Lot 148,Accessible Parking
Lot 148,Motorcycle Parking
Lot 150,Campus Housing Parking - Zone 3
Lot 150,Accessible Parking
Lot 150,Accessible Metered Parking
Lot 152,EMS Parking
Lot 152,Campus Housing Parking - Zone 3
Lot 152,Accessible Parking
Lot 152,Motorcycle Parking
Lot 152,Metered Parking
Lot 152,Service Vehicle Parking
Lot 152,Reserved Parking
Lot 153,EMP Parking
Lot 153,Accessible Parking
Lot 154,Visitor Parking
Lot 156,Campus Housing Parking - Zone 4
Lot 156,Accessible Parking
Lot 156,Motorcycle Parking
Lot 156,Metered Parking
Lot 158,EMP Parking
Lot 158,EMS Parking
Lot 158,Reserved Parking
Lot 158,Accessible Parking
Lot 160,EMP Parking
Lot 160,EMS Parking
Lot 160,Student Parking
Lot 160,Accessible Parking
Lot 160,Service Vehicle Parking
Lot 160,Reserved Parking
Lot 162,EMP Parking
Lot 162,EMS Parking
Lot 162,Accessible Parking
Lot 162,Reserved Parking
Lot 164,EMS Parking
Lot 164,Student Parking
Lot 164,Accessible Parking\\
Lot 166,EMP Parking
Lot 166,EMS Parking
Lot 166,Accessible Parking
Lot 166,Service Vehicle Parking
Lot 166,Accessible Metered Parking
Lot 166,Motorcycle Parking
Lot 166,Metered Parking
Lot 166,Electric Veh Parking
Lot 168,EMP Parking
Lot 168,EMS Parking
Lot 168,Student Parking
Lot 168,Accessible Parking
Lot 168,Metered Parking
Lot 169,EMP Parking
Lot 169,EMS Parking
Lot 169,Student Parking
Lot 169,Accessible Parking
Lot 169,Metered Parking
Lot 169,Service Vehicle Parking
Lot 170,EMS Parking
Lot 170,Student Parking
Lot 170,Accessible Parking
Lot 170,Service Vehicle Parking
Lot 172,Visitor Parking
Lot 172,Motor Pool Vehicle Parking
Lot 174,EMS Parking
Lot 174,Student Parking
Lot 174,Accessible Parking
Lot 178,EMP Parking
Lot 178,EMS Parking
Lot 178,Student Parking
Lot 178,Accessible Parking
