title,latitude,longitude
Lot 442,39.16354,-86.522394
Lot 255,39.17300802,-86.51977418
Lot 238,39.173833,-86.521811
Headley School Parking,39.18590997,-86.51465575
Lot 424,39.163537,-86.526325
Lot 100,39.18106219,-86.52754248
Lot 102,39.18489312,-86.52478087
Lot 103,39.18283817,-86.52458169
Lot 104,39.18080536,-86.52374889
Lot 108,39.1787845,-86.52549279
Lot 110,39.17947672,-86.52020975
Lot 111,39.17969243,-86.51877087
Lot 112,39.18133415,-86.52053335
Lot 114,39.18222084,-86.52121027
Lot 115,39.18684303,-86.51960788
Lot 116,39.19062312,-86.522872
Lot 117,39.18433022,-86.51977642
Lot 120,39.18155316,-86.51668531
Lot 121,39.18633226,-86.51333709
Lot 122,39.18445655,-86.51167684
Lot 123,39.179551,-86.513989
Lot 125,39.18281264,-86.51314328
Lot 126,39.17770727,-86.50998314
Lot 127,39.17726915,-86.51265233
Lot 128,39.17796305,-86.50780363
Lot 130,39.1791,-86.5048
Lot 132,39.17656241,-86.50823344
Lot 133,39.17671824,-86.51050761
Lot 134,39.17614982,-86.50980086
Lot 136,39.17525816,-86.50907961
Lot 138,39.17522138,-86.51039077
Lot 140,39.17384091,-86.51056657
Lot 142,39.17298115,-86.51177038
Lot 144,39.17334082,-86.51481171
Lot 146,39.17250911,-86.51494331
Lot 148,39.17208318,-86.51291399
Lot 150,39.17335891,-86.50936124
Lot 152,39.17273673,-86.50895433
Lot 153,39.17176491,-86.50891787
Lot 154,39.17451165,-86.50482346
Lot 156,39.17330602,-86.50438934
Lot 158,39.1783,-86.5043
Lot 160,39.1751815,-86.50104766
Lot 162,39.17505492,-86.49960588
Lot 164,39.17381611,-86.50218347
Lot 166,39.17264923,-86.50088177
Lot 168,39.17262563,-86.49894493
Lot 169,39.17302995,-86.49928917
Lot 170,39.17310785,-86.49629727
Lot 172,39.17403732,-86.49590863
Lot 174,39.17513354,-86.49764035
Lot 178,39.17736978,-86.49343919
Lot 200,39.17213208,-86.52634458
Lot 201,39.17191897,-86.52715704
Lot 202,39.17281429,-86.52612582
Lot 204,39.17388065,-86.52659733
Lot 207,39.17457,-86.524887
Lot 208,39.17485071,-86.52258694
Lot 210,39.17498067,-86.52180075
Lot 212,39.17547659,-86.52345115
Lot 214,39.17815268,-86.5224005
Lot 216,39.17838852,-86.52058182
Lot 218,39.17807652,-86.51930389
Lot 222,39.17641711,-86.51918574
Lot 226,39.1748869,-86.52006581
Lot 227,39.17856535,-86.51533959
Lot 228,39.17661876,-86.51851054
Lot 229,39.1766853,-86.51694212
Lot 230,39.17597039,-86.51684924
Lot 231,39.17420724,-86.51730451
Lot 232,39.1750924,-86.51853941
Lot 234,39.1742768,-86.52391381
Lot 235,39.17412657,-86.52281311
Lot 242,39.17347462,-86.51991016
Lot 249,39.17228236,-86.52287233
Lot 250,39.17221306,-86.52176994
Lot 256,39.17317941,-86.51790652
Lot 257,39.17244468,-86.51703882
Lot 258,39.17352954,-86.51588525
Lot 259,39.17260973,-86.51639455
Lot 260,39.17253535,-86.51586958
Lot 302,39.17103362,-86.53572535
Lot 310,39.17098417,-86.52764697
Lot 312,39.17007322,-86.52657723
Lot 330,39.16991181,-86.52502853
Lot 342,39.16902041,-86.52541715
Lot 343,39.16892681,-86.52502068
Lot 344,39.16892015,-86.52417696
Lot 346,39.16903447,-86.52387171
Lot 350,39.16899946,-86.52294419
Lot 354,39.16897724,-86.52240813
